ステージ,経験値
1,94
2,188
3,376
4,658
5,1316
6,1620
7,3159
8,4050
9,4779
10,5022
11,5112
12,5256
13,5472
14,5760
15,6048
16,6208
17,6400
18,6656
19,7040
20,7488
21,7714
22,8004
23,8352
24,8874
25,9454
26,9568
27,9984
28,10452
29,11128
30,12012
31,12432
32,12960
33,13632
34,14544
35,15744
36,16470
37,17190
38,18180
39,19485
40,21150
41,21361
42,22345
43,23698
44,25420
45,27634
46,29055
47,30459
48,32331
49,34788
50,37908
51,38520
52,40392
53,42912
54,46224
55,50472
56,52360
57,54910
58,58412
59,63002
60,68850
61,70912
62,74432
63,79232
64,85504
65,93536
66,96832
67,101696
68,108288
69,116928
70,128000
71,132512
72,139200
73,148320
74,160224
75,175456
76,181664
77,190880
78,203424
79,219840
80,240800
81,256672
82,277408
83,292928
84,312288
85,331360
86,349920
87,367776
88,384672
89,400384
90,414720
91,429504
92,451456
93,467584
94,491488
95,509056
96,527264
97,546112
98,565632
99,585888
100,606848
101,628544
102,660704
103,684352
104,719360
105,745120
106,771808
107,799424
108,828064
109,857696
110,888416
111,920256
112,967392
113,1002016
114,1053344
115,1091104
116,1130208
117,1170688
118,1212640
119,1256096
120,1301120
121,1347744
122,1416800
123,1467584
124,1542784
125,1598112
126,1655392
127,1714720
128,1776192
129,1839872
130,1905856
131,1974176
132,2075360
133,2149792
134,2260000
135,2341024
136,2424992
137,2511936
138,2602016
139,2695328
140,2792000
141,2925472
142,3065344
143,3211936
144,3365504
145,3526432
146,3695040
147,3871744
148,4056896
149,4250880
150,5273040
151,5525190
152,5789430
153,6066270
154,6356370
155,6660330
156,6978840
157,7312590
158,7662270
159,8028660
160,8412600
161,8814870
162,9236370
163,9678030
164,10140840
165,10625730
166,11133810
167,11666190
168,12224010
169,12808500
170,13420920
171,14062620
172,14734950
173,15439470
174,16177650
175,16951110
176,17761530
177,18610710
178,19500450
179,20432730
180,21409530
181,21520770
182,22810470
183,24041460
184,25388010
185,26666490
186,27976800
187,29332110
188,30688080
189,32189220
190,33598080
191,35042130
192,36641430
193,38039400
194,39712590
195,41266140
196,42858240
197,44638890
198,46304100
199,48033570
200,49747920
201,51503820
202,53486340
203,55323870
204,57392070
205,59127870
206,61065270
207,63272940
208,65301540
209,67603020
210,69705450
211,71636310
212,74096250
213,76337100
214,78899160
215,81223440
216,83639790
217,86061600
218,88538970
219,91393950
220,93966870
221,96644040
222,99682410
223,102021870
224,105210060
225,108064530
226,111037920
227,114426480
228,117611370
229,120474750
230,123656160
231,126975330
232,130770480
233,134361810
234,138382410
235,140883720
236,144643860
237,148950840
238,153126060
239,157797450
240,162597060
241,166204470
242,170855310
243,174965490
244,179803260
245,184063020
246,188484690
247,193174230
248,197716500
249,203094360
250,207808950
251,212700810
252,218401890
253,222863970
254,228849600
255,234073080
256,239489850
257,245826630
258,251570070
259,257877210
260,256535775
261,262392615
262,269270541
263,275499333
264,282678984
265,287820270
266,294335505
267,302018382
268,308982762
269,317007243
270,324257499
271,329612139
272,338275926
273,346171158
274,355241403
275,363604977
276,373524966
277,378521586
278,388100106
279,399062970
280,410614299
